Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,36.020000,36.230000,35.650002,36.130001,36.035179,116200
2021-07-01,36.029999,36.060001,35.070000,35.270000,35.177433,90900
2021-07-02,36.000000,36.000000,35.330002,35.869999,35.775856,91700
2021-07-06,36.250000,36.369999,34.900002,35.750000,35.656174,104700
2021-07-07,36.220001,36.389999,34.490002,34.660000,34.569035,476000
2021-07-08,33.139999,34.060001,32.849998,33.689999,33.601578,266300
2021-07-09,33.889999,34.779999,33.439999,34.689999,34.598953,56500
2021-07-12,35.040001,35.630001,34.849998,35.610001,35.516541,100600
2021-07-13,35.419998,35.549999,34.900002,35.110001,35.017853,88300
2021-07-14,35.639999,36.110001,34.490002,34.560001,34.469299,106800
2021-07-15,34.419998,34.419998,32.540001,32.930000,32.843575,181300
2021-07-16,33.240002,33.380001,31.209999,31.320000,31.237801,118900
2021-07-19,30.500000,31.820000,30.260000,31.620001,31.537014,138800
2021-07-20,31.910000,32.750000,30.980000,32.299999,32.215229,85700
2021-07-21,32.560001,34.389999,32.560001,34.349998,34.259846,109800
2021-07-22,34.070000,34.340000,33.490002,33.950001,33.860897,98200
2021-07-23,34.049999,34.110001,33.250000,34.070000,33.980583,107700
2021-07-26,33.619999,34.220001,33.610001,33.990002,33.900795,101500
2021-07-27,33.669998,33.669998,31.459999,32.849998,32.763783,98300
2021-07-28,33.000000,34.240002,32.849998,33.970001,33.880848,135100
2021-07-29,34.080002,35.400002,34.000000,35.230000,35.137539,116300
2021-07-30,34.619999,35.779999,34.610001,35.590000,35.496593,123300
2021-08-02,36.130001,36.950001,35.880001,36.049999,35.955387,164500
2021-08-03,36.200001,36.779999,35.400002,36.540001,36.444099,137200
2021-08-04,36.810001,37.740002,36.700001,37.529999,37.431499,142400
2021-08-05,37.900002,37.900002,37.060001,37.439999,37.341736,68700
2021-08-06,37.049999,37.549999,36.880001,37.119999,37.022575,83600
2021-08-09,37.360001,37.389999,36.520000,36.799999,36.703419,97600
2021-08-10,37.020000,37.020000,35.400002,35.830002,35.735966,74800
2021-08-11,36.180000,36.250000,34.700001,35.560001,35.466675,252500
2021-08-12,35.450001,35.450001,34.290001,34.889999,34.798431,232000
2021-08-13,34.880001,35.410000,34.770000,35.389999,35.297119,121100
2021-08-16,35.090000,35.330002,34.340000,35.070000,34.977959,90700
2021-08-17,34.520000,34.520000,33.180000,33.720001,33.631504,146500
2021-08-18,33.700001,33.930000,32.630001,32.709999,32.624153,65400
2021-08-19,32.500000,34.119999,31.900000,33.500000,33.412079,123400
2021-08-20,33.770000,34.389999,33.410000,34.360001,34.269821,102900
2021-08-23,34.930000,36.639999,34.930000,36.560001,36.464050,172000
2021-08-24,36.619999,36.830002,36.250000,36.450001,36.354336,136900
2021-08-25,36.599998,37.520000,36.599998,37.080002,36.982685,67600
2021-08-26,37.099998,37.270000,36.310001,36.849998,36.753284,94500
2021-08-27,37.110001,38.540001,37.110001,38.389999,38.289246,92400
2021-08-30,38.900002,39.450001,38.389999,38.590000,38.488720,80500
2021-08-31,38.720001,38.720001,37.349998,38.000000,37.900269,76100
2021-09-01,38.340000,38.380001,37.580002,37.580002,37.481373,110000
2021-09-02,37.889999,38.000000,37.400002,37.660000,37.561161,41600
2021-09-03,37.720001,38.459999,37.720001,38.250000,38.149612,98800
2021-09-07,38.189999,38.189999,37.430000,37.820000,37.720741,83200
2021-09-08,37.599998,37.599998,36.189999,36.900002,36.803158,108000
2021-09-09,36.930000,37.450001,36.910000,37.049999,36.952763,82900
2021-09-10,37.619999,38.689999,37.599998,37.669998,37.571133,187600
2021-09-13,38.400002,38.540001,37.139999,38.099998,38.000004,367700
2021-09-14,38.279999,38.599998,37.799999,38.009998,37.910240,104600
2021-09-15,38.009998,38.529999,37.459999,38.480000,38.379009,91600
2021-09-16,38.139999,38.770000,37.580002,38.590000,38.488720,118600
2021-09-17,38.520000,38.520000,37.250000,37.520000,37.421528,82000
2021-09-20,35.900002,36.150002,34.419998,35.529999,35.436749,159700
2021-09-21,36.110001,36.180000,35.040001,35.750000,35.656174,77000
2021-09-22,36.189999,37.500000,36.020000,37.310001,37.212082,98600
2021-09-23,37.820000,38.700001,37.450001,38.500000,38.398956,679700
2021-09-24,37.730000,38.389999,37.570000,38.240002,38.139641,144700
2021-09-27,37.520000,38.230000,36.770000,38.029999,37.930187,272000
2021-09-28,36.610001,37.080002,35.130001,35.160000,35.067722,128700
2021-09-29,35.439999,35.459999,34.020000,34.160000,34.070347,82800
2021-09-30,34.860001,35.270000,34.209999,34.209999,34.120216,109800
2021-10-01,34.599998,34.639999,33.180000,34.419998,34.329662,133100
2021-10-04,34.080002,34.160000,32.250000,32.549999,32.464573,194300
2021-10-05,32.830002,34.169998,32.830002,33.720001,33.631504,1038600
2021-10-06,32.950001,34.169998,32.820000,34.119999,34.030449,180200
2021-10-07,34.919998,35.849998,34.840000,34.889999,34.798431,78200
2021-10-08,35.189999,35.189999,34.220001,34.310001,34.219955,107800
2021-10-11,34.040001,35.060001,33.900002,33.939999,33.850922,94500
2021-10-12,34.330002,34.349998,32.939999,33.240002,33.152763,69900
2021-10-13,33.759998,33.919998,33.360001,33.689999,33.601578,45000
2021-10-14,34.849998,35.779999,34.639999,35.759998,35.666145,228800
2021-10-15,36.189999,36.410000,35.830002,36.180000,36.085045,81500
2021-10-18,35.830002,36.980000,35.470001,36.930000,36.833076,75700
2021-10-19,37.060001,37.750000,36.720001,37.680000,37.581108,159800
2021-10-20,37.490002,37.849998,37.270000,37.520000,37.421528,47100
2021-10-21,37.130001,38.570000,37.130001,38.509998,38.408928,104500
2021-10-22,38.279999,38.740002,37.360001,37.500000,37.401581,559900
2021-10-25,38.000000,38.720001,37.770000,38.259998,38.159584,151000
2021-10-26,39.130001,40.160000,38.810001,39.200001,39.097118,132100
2021-10-27,38.700001,39.500000,38.570000,38.590000,38.488720,41000
2021-10-28,39.349998,40.049999,39.349998,40.020000,39.914967,78900
2021-10-29,39.630001,40.900002,39.630001,40.689999,40.583206,277800
2021-11-01,41.000000,42.029999,40.630001,42.000000,41.889771,111700
2021-11-02,42.070000,43.259998,42.070000,43.150002,43.036755,73500
2021-11-03,43.189999,44.150002,42.919998,44.070000,43.954338,288200
2021-11-04,45.299999,50.020000,45.299999,48.770000,48.642002,253900
2021-11-05,49.560001,51.389999,48.939999,49.639999,49.509720,227800
2021-11-08,50.500000,52.150002,50.130001,51.599998,51.464573,254000
2021-11-09,53.380001,53.439999,50.189999,51.490002,51.354866,211800
2021-11-10,49.389999,51.070000,47.750000,48.270000,48.143314,599700
2021-11-11,49.830002,50.720001,49.279999,50.490002,50.357491,199900
2021-11-12,50.750000,51.779999,50.000000,51.250000,51.115494,131900
2021-11-15,51.970001,51.970001,49.580002,50.930000,50.796333,145300
2021-11-16,50.330002,52.619999,50.330002,52.520000,52.382160,246700
2021-11-17,52.639999,52.709999,50.820000,51.290001,51.155388,119300
2021-11-18,54.919998,55.400002,53.360001,54.330002,54.187412,253700
2021-11-19,54.700001,56.139999,54.169998,55.540001,55.394234,135800
2021-11-22,56.410000,58.410000,53.400002,53.480000,53.339642,391000
2021-11-23,53.040001,54.250000,51.060001,53.029999,52.890820,194000
2021-11-24,52.320000,54.820000,51.240002,54.759998,54.616280,183600
2021-11-26,52.840000,54.000000,50.939999,51.630001,51.494499,132500
2021-11-29,53.610001,56.270000,52.990002,56.200001,56.052502,257900
2021-11-30,55.639999,56.360001,52.779999,54.080002,53.938068,203100
2021-12-01,55.639999,56.880001,52.070000,52.160000,52.023106,410100
2021-12-02,51.310001,53.419998,50.680000,52.529999,52.392132,136900
2021-12-03,53.810001,54.430000,49.860001,51.169998,51.035702,164700
2021-12-06,50.599998,51.049999,46.849998,50.700001,50.566936,228600
2021-12-07,53.380001,56.410000,53.380001,56.220001,56.072453,170400
2021-12-08,55.820000,55.820000,54.500000,55.380001,55.234657,162600
2021-12-09,54.980000,56.020000,52.330002,52.419998,52.282421,146300
2021-12-10,54.320000,54.930000,52.040001,53.090000,52.950665,110000
2021-12-13,53.669998,53.669998,49.529999,49.650002,49.519695,148700
2021-12-14,48.310001,49.830002,47.650002,49.250000,49.120743,129600
2021-12-15,49.549999,53.770000,48.330002,53.660000,53.519169,356800
2021-12-16,54.599998,54.740002,48.000000,48.639999,48.512344,316500
2021-12-17,47.520000,49.930000,47.360001,47.970001,47.844105,113000
2021-12-20,46.439999,48.000000,46.139999,47.310001,47.185837,171100
2021-12-21,49.259998,50.980000,47.700001,50.880001,50.746468,167100
2021-12-22,50.439999,51.759998,49.669998,51.700001,51.564312,126600
2021-12-23,52.139999,53.660000,52.139999,52.830002,52.691349,135600
2021-12-27,53.200001,56.139999,53.200001,56.130001,55.982689,130300
2021-12-28,56.669998,56.669998,54.119999,54.619999,54.476646,128700
2021-12-29,54.740002,55.349998,53.599998,54.520000,54.376911,75800
2021-12-30,54.520000,55.000000,52.970001,53.130001,52.990562,127300
2021-12-31,53.290001,54.160000,52.770000,52.820000,52.681374,59200
2022-01-03,53.470001,55.250000,53.470001,54.880001,54.735970,159600
2022-01-04,55.169998,55.650002,51.180000,53.730000,53.588985,214000
2022-01-05,53.020000,53.830002,49.700001,49.810001,49.679276,142900
2022-01-06,49.980000,51.090000,48.590000,50.599998,50.467197,107100
2022-01-07,50.450001,50.830002,47.299999,47.540001,47.415230,220000
2022-01-10,46.070000,48.099998,44.330002,48.040001,47.913918,307100
2022-01-11,47.680000,49.799999,46.840000,49.630001,49.499748,177800
2022-01-12,50.540001,51.400002,49.279999,50.240002,50.108147,165000
2022-01-13,51.669998,52.000000,46.950001,47.310001,47.185837,204300
2022-01-14,46.490002,49.330002,46.470001,49.259998,49.130714,115700
2022-01-18,47.500000,47.610001,44.869999,45.160000,45.041477,256200
2022-01-19,45.709999,46.349998,42.290001,42.340000,42.228878,305100
2022-01-20,42.900002,43.580002,39.299999,39.430000,39.326515,1498900
2022-01-21,38.639999,41.169998,37.770000,37.880001,37.780586,343900
2022-01-24,36.060001,38.639999,33.250000,38.630001,38.528618,1360200
